status	seconds	pages	suspect_md	pdf	output
ok-part	10.7	5	Celeida Tostes - cleitonalmeida,+AE+2_1.+Capa+e+sumário-compactado - ef99469e00.md	ocr-reconvertidos-rapid/_pdf-parts/cleitonalmeida,+AE+2_1.+Capa+e+sumário-compactado__p0001-0005.pdf	ocr-reconvertidos-rapid/_md-parts/cleitonalmeida,+AE+2_1.+Capa+e+sumário-compactado__p0001-0005.md
ok-merged	0	5	Celeida Tostes - cleitonalmeida,+AE+2_1.+Capa+e+sumário-compactado - ef99469e00.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Celeida Tostes/cleitonalmeida,+AE+2_1.+Capa+e+sumário-compactado.pdf	ocr-reconvertidos-rapid/cleitonalmeida,+AE+2_1.+Capa+e+sumário-compactado.md
ok-part	25.7	9	Susnea - Engineering Human Stigmergy.md	ocr-reconvertidos-rapid/_pdf-parts/Susnea - Engineering Human Stigmergy__p0001-0009.pdf	ocr-reconvertidos-rapid/_md-parts/Susnea - Engineering Human Stigmergy__p0001-0009.md
ok-merged	0	9	Susnea - Engineering Human Stigmergy.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Estigmergia/Susnea - Engineering Human Stigmergy.pdf	ocr-reconvertidos-rapid/Susnea - Engineering Human Stigmergy.md
ok-part	43.1	12	Novo Materialismo - Jackson_Steven_J_Rethinking_Repair_Media - c3c7ede5b7.md	ocr-reconvertidos-rapid/_pdf-parts/Jackson_Steven_J_Rethinking_Repair_Media__p0001-0012.pdf	ocr-reconvertidos-rapid/_md-parts/Jackson_Steven_J_Rethinking_Repair_Media__p0001-0012.md
ok-merged	0	12	Novo Materialismo - Jackson_Steven_J_Rethinking_Repair_Media - c3c7ede5b7.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Novo Materialismo/Jackson_Steven_J_Rethinking_Repair_Media.pdf	ocr-reconvertidos-rapid/Jackson_Steven_J_Rethinking_Repair_Media.md
ok-part	18.4	15	Engenharia - Kalichová - PowerPoint Presentation - 381fd37e62.md	ocr-reconvertidos-rapid/_pdf-parts/Kalichová - PowerPoint Presentation__p0001-0015.pdf	ocr-reconvertidos-rapid/_md-parts/Kalichová - PowerPoint Presentation__p0001-0015.md
ok-merged	0	15	Engenharia - Kalichová - PowerPoint Presentation - 381fd37e62.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Engenharia/Kalichová - PowerPoint Presentation.pdf	ocr-reconvertidos-rapid/Kalichová - PowerPoint Presentation.md
ok-part	51.2	20	Novo Materialismo - umber - mdp-39015077549452-1668091230 - 803612d7e3.md	ocr-reconvertidos-rapid/_pdf-parts/umber - mdp-39015077549452-1668091230__p0001-0020.pdf	ocr-reconvertidos-rapid/_md-parts/umber - mdp-39015077549452-1668091230__p0001-0020.md
ok-merged	0	20	Novo Materialismo - umber - mdp-39015077549452-1668091230 - 803612d7e3.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Novo Materialismo/umber - mdp-39015077549452-1668091230.pdf	ocr-reconvertidos-rapid/umber - mdp-39015077549452-1668091230.md
ok-part	50.9	20	Novo Materialismo - Ways of Making and knowing - INTRO - 439293ff88.md	ocr-reconvertidos-rapid/_pdf-parts/Ways of Making and knowing - INTRO__p0001-0020.pdf	ocr-reconvertidos-rapid/_md-parts/Ways of Making and knowing - INTRO__p0001-0020.md
ok-merged	0	20	Novo Materialismo - Ways of Making and knowing - INTRO - 439293ff88.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Novo Materialismo/Ways of Making and knowing - INTRO.pdf	ocr-reconvertidos-rapid/Ways of Making and knowing - INTRO.md
ok-part	266.2	78	Latour - Jamais fomos modernos.md	ocr-reconvertidos-rapid/_pdf-parts/Latour - Jamais fomos modernos__p0001-0078.pdf	ocr-reconvertidos-rapid/_md-parts/Latour - Jamais fomos modernos__p0001-0078.md
ok-merged	0	78	Latour - Jamais fomos modernos.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Filosofia/Latour - Jamais fomos modernos.pdf	ocr-reconvertidos-rapid/Latour - Jamais fomos modernos.md
